id,abbreviation,name,description,type,condition
"001",stb,Simply the Best,highest average score,spirit,avg_game_score = (SELECT MAX(avg_game_score) FROM spirit_game_data_agg)
"002",wip,WIP,lowest average score,spirit,avg_game_score = (SELECT MIN(avg_game_score) FROM spirit_game_data_agg)
"003",mvp,MVP,highest average score when winning,spirit,avg_win_score = (SELECT MAX(avg_win_score) FROM spirit_game_data_agg)
"004",dq,Drama Queen,lowest average score when losing,spirit,avg_loss_score = (SELECT MIN(avg_loss_score) FROM spirit_game_data_agg)
"005",chbg,It Could Have Been Glorious,highest average score when losing,spirit,avg_loss_score = (SELECT MAX(avg_loss_score) FROM spirit_game_data_agg)
"006",bawc,I won... But at What Cost?,lowest average score when winning,spirit,avg_win_score = (SELECT MIN(avg_win_score) FROM spirit_game_data_agg)
